,Wban Number, YearMonthDay, Avg Temp
6369,13838,20030104,39
8569,14702,20030104,28
11385,14940,20030104,30
11416,14941,20030104,39
8968,14740,20030104,31
5935,13739,20030104,36
251,3030,20030104,45
8627,14710,20030104,28
6183,13781,20030104,39
6059,13744,20030104,39
8813,14734,20030104,35
8414,14605,20030104,23
1015,3810,20030104,37
8596,14707,20030104,35
8937,14739,20030104,33
8445,14606,20030104,24
11996,23009,20030104,48
9030,14745,20030104,26
677,3170,20030104,37
7360,13939,20030104,45
13171,23176,20030104,35
5718,13728,20030104,34
220,3029,20030104,33
1357,3859,20030105,28
10797,14914,20030105,22
2998,4726,20030105,22
8415,14605,20030105,25
3307,4836,20030105,19
1016,3810,20030105,38
2006,3940,20030105,51
9650,14787,20030105,30
252,3030,20030105,45
678,3170,20030105,32
2719,4109,20030105,42
14967,24126,20030105,0
13172,23176,20030105,39
6122,13764,20030105,30
10735,14910,20030105,26
3400,4840,20030105,30
1171,3818,20030105,47
1882,3932,20030105,46
8570,14702,20030105,23
3369,4839,20030105,30
19993,54743,20030105,30
528,3160,20030105,53
11417,14941,20030105,31
19962,54742,20030105,20
1233,3822,20030105,45
11997,23009,20030105,47
2285,3963,20030105,36
8446,14606,20030105,17
9681,14792,20030105,33
1326,3856,20030105,46
3183,4803,20030105,26
2347,3966,20030105,31
10766,14913,20030105,25
16579,25309,20030105,41
16610,25323,20030105,38
6308,13833,20030105,52
3214,4804,20030105,30
2223,3960,20030105,35
283,3031,20030105,48
3091,4781,20030105,32
558,3162,20030105,38
3276,4826,20030105,29
16548,25308,20030105,47
3462,4842,20030105,26
6184,13781,20030105,35
97,3024,20030105,47
435,3131,20030105,63
1202,3820,20030105,43
342,3102,20030105,64
11262,14936,20030105,28
6370,13838,20030105,51
2130,3953,20030105,43
3245,4808,20030105,31
66,3017,20030105,43
2068,3947,20030105,40
1851,3928,20030105,38
3493,4843,20030105,26
20210,54771,20030105,15
1572,3887,20030105,34
4048,12812,20030105,52
14100,24013,20030105,24
19931,54740,20030105,22
1419,3868,20030105,35
1078,3812,20030105,41
19807,54728,20030105,16
2843,4113,20030105,40
11756,21510,20030105,77
22143,93721,20030105,27
1603,3888,20030105,46
3989,11640,20030105,78
5936,13739,20030105,34
9712,14794,20030105,31
8628,14710,20030105,23
1295,3849,20030105,41
9185,14752,20030105,29
4079,12815,20030105,49
1047,3811,20030105,43
1448,3870,20030105,44
5006,12916,20030105,54
221,3029,20030105,33
2812,4112,20030105,24
14038,24011,20030105,27
4,3013,20030105,42
2781,4111,20030105,31
11231,14935,20030105,30
4728,12884,20030105,51
5719,13728,20030105,34
8814,14734,20030105,35
1510,3878,20030105,47
7361,13939,20030105,49
11200,14933,20030105,32
3803,4854,20030105,20
314,3032,20030105,54
9371,14763,20030105,23
3586,4847,20030105,28
8597,14707,20030105,31
14906,24110,20030105,36
466,3144,20030105,62
1388,3860,20030105,36
3555,4846,20030105,31
1696,3894,20030105,42
8969,14740,20030105,28
2967,4725,20030105,25
1789,3919,20030105,38
8938,14739,20030105,30
9031,14745,20030105,18
9433,14765,20030105,29
128,3026,20030105,39
11138,14929,20030105,25
11386,14940,20030105,29
1140,3816,20030105,37
11725,21504,20030105,73
14193,24018,20030105,40
11293,14937,20030105,28
1634,3889,20030105,37
3617,4848,20030105,27
6060,13744,20030105,42
1665,3893,20030105,33
3153,4789,20030105,27
22019,93706,20030105,28
11355,14939,20030105,32
2750,4110,20030105,34
1264,3847,20030105,41
2751,4110,20030106,30
1296,3849,20030106,33
8939,14739,20030106,27
19932,54740,20030106,18
2720,4109,20030106,38
7362,13939,20030106,39
10736,14910,20030106,22
343,3102,20030106,72
8416,14605,20030106,24
2348,3966,20030106,32
1883,3932,20030106,37
19963,54742,20030106,24
8598,14707,20030106,30
22020,93706,20030106,29
1666,3893,20030106,30
11726,21504,20030106,70
1635,3889,20030106,32
11418,14941,20030106,29
315,3032,20030106,52
1604,3888,20030106,39
1697,3894,20030106,34
22144,93721,20030106,33
1420,3868,20030106,29
5,3013,20030106,39
1573,3887,20030106,32
11232,14935,20030106,31
1511,3878,20030106,45
11201,14933,20030106,29
1449,3870,20030106,41
529,3160,20030106,53
8629,14710,20030106,22
2286,3963,20030106,32
1389,3860,20030106,33
8815,14734,20030106,33
1327,3856,20030106,37
10767,14913,20030106,18
2224,3960,20030106,33
8447,14606,20030106,21
67,3017,20030106,37
2131,3953,20030106,35
11263,14936,20030106,28
2069,3947,20030106,29
11139,14929,20030106,25
559,3162,20030106,46
19994,54743,20030106,31
1358,3859,20030106,26
10798,14914,20030106,23
8571,14702,20030106,20
1852,3928,20030106,29
253,3030,20030106,40
20211,54771,20030106,19
1790,3919,20030106,28
2007,3940,20030106,43
2782,4111,20030106,26
9713,14794,20030106,29
11356,14939,20030106,26
11387,14940,20030106,26
3618,4848,20030106,22
3277,4826,20030106,24
6185,13781,20030106,35
1203,3820,20030106,43
14194,24018,20030106,36
3804,4854,20030106,17
3308,4836,20030106,19
16549,25308,20030106,48
5937,13739,20030106,33
3990,11640,20030106,79
11998,23009,20030106,44
3215,4804,20030106,23
1079,3812,20030106,35
6309,13833,20030106,47
3184,4803,20030106,22
3246,4808,20030106,25
14101,24013,20030106,30
9372,14763,20030106,17
436,3131,20030106,63
3556,4846,20030106,26
129,3026,20030106,37
14907,24110,20030106,37
3494,4843,20030106,22
1017,3810,20030106,39
6061,13744,20030106,48
3463,4842,20030106,17
14968,24126,20030106,37
9434,14765,20030106,28
9032,14745,20030106,22
1172,3818,20030106,50
3587,4847,20030106,18
3401,4840,20030106,26
9651,14787,20030106,29
3370,4839,20030106,24
6123,13764,20030106,36
1141,3816,20030106,33
16580,25309,20030106,42
13173,23176,20030106,34
9186,14752,20030106,27
9682,14792,20030106,31
679,3170,20030106,28
2999,4726,20030106,20
4080,12815,20030106,54
98,3024,20030106,40
1265,3847,20030106,32
3092,4781,20030106,31
2844,4113,20030106,35
4729,12884,20030106,51
14039,24011,20030106,34
5720,13728,20030106,38
467,3144,20030106,63
8970,14740,20030106,23
5007,12916,20030106,53
222,3029,20030106,36
3154,4789,20030106,27
1048,3811,20030106,32
11757,21510,20030106,73
2968,4725,20030106,23
16611,25323,20030106,40
1234,3822,20030106,49
2813,4112,20030106,12
284,3031,20030106,44
4049,12812,20030106,55
19808,54728,20030106,23
6371,13838,20030106,53
11294,14937,20030106,29
3588,4847,20030107,22
1667,3893,20030107,29
9187,14752,20030107,23
4730,12884,20030107,43
1450,3870,20030107,40
1698,3894,20030107,33
6062,13744,20030107,37
11202,14933,20030107,41
3557,4846,20030107,30
11233,14935,20030107,46
9373,14763,20030107,13
22021,93706,20030107,28
14040,24011,20030107,41
8630,14710,20030107,22
22145,93721,20030107,29
11357,14939,20030107,44
1574,3887,20030107,34
4050,12812,20030107,52
14102,24013,20030107,42
11140,14929,20030107,37
3991,11640,20030107,77
11419,14941,20030107,47
1605,3888,20030107,39
5938,13739,20030107,29
3805,4854,20030107,24
5721,13728,20030107,33
3619,4848,20030107,22
1636,3889,20030107,31
9033,14745,20030107,16
1512,3878,20030107,40
4081,12815,20030107,48
8599,14707,20030107,26
14195,24018,20030107,49
2783,4111,20030107,30
1884,3932,20030107,44
20212,54771,20030107,11
2225,3960,20030107,37
3185,4803,20030107,34
6310,13833,20030107,41
16581,25309,20030107,37
19964,54742,20030107,15
11264,14936,20030107,42
9683,14792,20030107,26
2287,3963,20030107,36
3155,4789,20030107,19
11295,14937,20030107,39
8417,14605,20030107,20
3093,4781,20030107,25
3216,4804,20030107,23
2349,3966,20030107,35
2969,4725,20030107,16
2721,4109,20030107,35
19933,54740,20030107,18
8940,14739,20030107,25
9714,14794,20030107,25
2845,4113,20030107,37
6372,13838,20030107,46
7363,13939,20030107,37
2752,4110,20030107,31
11758,21510,20030107,75
10737,14910,20030107,34
2814,4112,20030107,0
3000,4726,20030107,20
8971,14740,20030107,22
10768,14913,20030107,35
11999,23009,20030107,42
14908,24110,20030107,28
11727,21504,20030107,72
3495,4843,20030107,23
1791,3919,20030107,45
3464,4842,20030107,19
8572,14702,20030107,22
1853,3928,20030107,42
9435,14765,20030107,23
3402,4840,20030107,37
8816,14734,20030107,28
19809,54728,20030107,8
10799,14914,20030107,31
19995,54743,20030107,26
3371,4839,20030107,29
14969,24126,20030107,35
3309,4836,20030107,15
6124,13764,20030107,32
2008,3940,20030107,38
11388,14940,20030107,41
3278,4826,20030107,36
6186,13781,20030107,31
2070,3947,20030107,39
9652,14787,20030107,25
16550,25308,20030107,42
8448,14606,20030107,18
3247,4808,20030107,34
2132,3953,20030107,35
13174,23176,20030107,33
5008,12916,20030107,45
16612,25323,20030107,34
6,3013,20030107,43
530,3160,20030107,57
68,3017,20030107,47
1142,3816,20030107,32
1390,3860,20030107,31
560,3162,20030107,43
1328,3856,20030107,35
254,3030,20030107,45
344,3102,20030107,69
130,3026,20030107,44
1421,3868,20030107,30
316,3032,20030107,49
1173,3818,20030107,42
223,3029,20030107,34
1359,3859,20030107,23
1018,3810,20030107,35
285,3031,20030107,43
1080,3812,20030107,33
680,3170,20030107,29
437,3131,20030107,67
1235,3822,20030107,41
1266,3847,20030107,30
1204,3820,20030107,37
1297,3849,20030107,32
468,3144,20030107,64
99,3024,20030107,49
1049,3811,20030107,32
2784,4111,20030108,30
11296,14937,20030108,49
286,3031,20030108,50
6311,13833,20030108,48
1391,3860,20030108,46
681,3170,20030108,33
6187,13781,20030108,40
6125,13764,20030108,43
69,3017,20030108,47
11358,14939,20030108,48
1699,3894,20030108,50
5939,13739,20030108,38
1668,3893,20030108,45
1019,3810,20030108,53
19810,54728,20030108,16
4082,12815,20030108,48
4731,12884,20030108,47
12000,23009,20030108,46
1637,3889,20030108,44
2970,4725,20030108,27
1050,3811,20030108,50
22022,93706,20030108,41
11759,21510,20030108,75
1267,3847,20030108,42
5009,12916,20030108,51
5722,13728,20030108,51
11728,21504,20030108,75
255,3030,20030108,54
2846,4113,20030108,35
19996,54743,20030108,34
11420,14941,20030108,48
6063,13744,20030108,51
2815,4112,20030108,0
11389,14940,20030108,44
6373,13838,20030108,48
8418,14605,20030108,19
2753,4110,20030108,32
8941,14739,20030108,29
1329,3856,20030108,46
345,3102,20030108,57
8972,14740,20030108,31
2226,3960,20030108,57
10738,14910,20030108,39
22146,93721,20030108,41
9034,14745,20030108,21
1360,3859,20030108,38
1885,3932,20030108,52
7,3013,20030108,45
469,3144,20030108,61
9188,14752,20030108,32
9374,14763,20030108,23
2133,3953,20030108,47
9436,14765,20030108,30
9715,14794,20030108,33
438,3131,20030108,59
9653,14787,20030108,31
9684,14792,20030108,35
2009,3940,20030108,49
7364,13939,20030108,50
2288,3963,20030108,54
8817,14734,20030108,36
11265,14936,20030108,44
1792,3919,20030108,53
1298,3849,20030108,44
3001,4726,20030108,35
11234,14935,20030108,47
8449,14606,20030108,15
11203,14933,20030108,51
317,3032,20030108,50
2722,4109,20030108,37
10769,14913,20030108,39
561,3162,20030108,41
8600,14707,20030108,34
1854,3928,20030108,48
2350,3966,20030108,56
11141,14929,20030108,39
8631,14710,20030108,25
531,3160,20030108,49
10800,14914,20030108,33
19934,54740,20030108,24
19965,54742,20030108,19
8573,14702,20030108,26
13175,23176,20030108,33
2071,3947,20030108,55
14909,24110,20030108,30
1422,3868,20030108,43
3372,4839,20030108,42
3806,4854,20030108,37
16582,25309,20030108,29
3094,4781,20030108,34
3217,4804,20030108,41
3558,4846,20030108,42
14103,24013,20030108,36
16551,25308,20030108,37
3403,4840,20030108,43
1513,3878,20030108,45
3310,4836,20030108,10
3620,4848,20030108,38
14196,24018,20030108,47
3465,4842,20030108,38
1143,3816,20030108,49
14970,24126,20030108,33
3186,4803,20030108,37
20213,54771,20030108,19
1236,3822,20030108,51
3496,4843,20030108,36
1575,3887,20030108,47
3156,4789,20030108,32
131,3026,20030108,51
3589,4847,20030108,39
14041,24011,20030108,40
1174,3818,20030108,47
1081,3812,20030108,44
1451,3870,20030108,50
100,3024,20030108,56
3992,11640,20030108,78
4051,12812,20030108,51
16613,25323,20030108,30
1205,3820,20030108,50
3248,4808,20030108,46
3279,4826,20030108,40
1606,3888,20030108,48
224,3029,20030108,37
8601,14707,20030109,38
8574,14702,20030109,32
1855,3928,20030109,38
2351,3966,20030109,41
3187,4803,20030109,25
14971,24126,20030109,31
318,3032,20030109,63
439,3131,20030109,56
20214,54771,20030109,12
3466,4842,20030109,40
9716,14794,20030109,39
1452,3870,20030109,59
3280,4826,20030109,28
11142,14929,20030109,24
11266,14936,20030109,28
3497,4843,20030109,37
1793,3919,20030109,36
132,3026,20030109,27
9685,14792,20030109,41
1299,3849,20030109,48
13176,23176,20030109,41
9654,14787,20030109,38
8419,14605,20030109,23
562,3162,20030109,43
11235,14935,20030109,28
14910,24110,20030109,34
3249,4808,20030109,32
8450,14606,20030109,15
2723,4109,20030109,33
11204,14933,20030109,32
9437,14765,20030109,39
2134,3953,20030109,50
8632,14710,20030109,32
3373,4839,20030109,35
346,3102,20030109,57
2010,3940,20030109,56
8973,14740,20030109,37
101,3024,20030109,44
2227,3960,20030109,43
19935,54740,20030109,24
16583,25309,20030109,24
10739,14910,20030109,21
8,3013,20030109,32
470,3144,20030109,58
3311,4836,20030109,2
9035,14745,20030109,24
1361,3859,20030109,45
1330,3856,20030109,49
1206,3820,20030109,60
3218,4804,20030109,41
1886,3932,20030109,43
532,3160,20030109,49
3404,4840,20030109,30
1514,3878,20030109,55
19966,54742,20030109,16
10801,14914,20030109,23
9375,14763,20030109,32
8942,14739,20030109,36
9189,14752,20030109,39
8818,14734,20030109,45
22147,93721,20030109,44
2289,3963,20030109,39
10770,14913,20030109,22
16614,25323,20030109,23
1175,3818,20030109,57
16552,25308,20030109,40
2754,4110,20030109,29
4052,12812,20030109,57
5940,13739,20030109,44
3807,4854,20030109,29
14042,24011,20030109,21
256,3030,20030109,38
2847,4113,20030109,34
3095,4781,20030109,41
1669,3893,20030109,42
19997,54743,20030109,41
11421,14941,20030109,31
6064,13744,20030109,62
2072,3947,20030109,37
14104,24013,20030109,18
1020,3810,20030109,59
3621,4848,20030109,37
11390,14940,20030109,28
3590,4847,20030109,37
11729,21504,20030109,73
6126,13764,20030109,50
5723,13728,20030109,56
5010,12916,20030109,62
3002,4726,20030109,38
4083,12815,20030109,58
3993,11640,20030109,78
4732,12884,20030109,58
12001,23009,20030109,50
225,3029,20030109,35
19811,54728,20030109,14
1051,3811,20030109,52
1638,3889,20030109,50
2971,4725,20030109,34
1082,3812,20030109,51
1607,3888,20030109,56
11760,21510,20030109,75
1268,3847,20030109,49
22023,93706,20030109,49
1423,3868,20030109,43
11359,14939,20030109,32
2816,4112,20030109,0
6374,13838,20030109,59
3157,4789,20030109,37
287,3031,20030109,56
7365,13939,20030109,58
1700,3894,20030109,48
1144,3816,20030109,47
2785,4111,20030109,21
1576,3887,20030109,41
6188,13781,20030109,44
1392,3860,20030109,47
1237,3822,20030109,60
70,3017,20030109,24
11297,14937,20030109,34
14197,24018,20030109,21
682,3170,20030109,35
3559,4846,20030109,37
6312,13833,20030109,57
3808,4854,20030110,16
1083,3812,20030110,40
563,3162,20030110,43
3281,4826,20030110,13
8420,14605,20030110,15
9036,14745,20030110,14
2972,4725,20030110,24
22024,93706,20030110,36
1300,3849,20030110,34
9190,14752,20030110,31
6127,13764,20030110,40
4733,12884,20030110,56
2073,3947,20030110,25
9655,14787,20030110,35
3250,4808,20030110,19
3003,4726,20030110,24
4053,12812,20030110,65
3994,11640,20030110,80
3498,4843,20030110,24
4084,12815,20030110,63
440,3131,20030110,55
9438,14765,20030110,34
3560,4846,20030110,22
6375,13838,20030110,52
1207,3820,20030110,53
9376,14763,20030110,19
683,3170,20030110,36
3158,4789,20030110,31
2135,3953,20030110,35
1052,3811,20030110,31
3312,4836,20030110,1
1331,3856,20030110,39
471,3144,20030110,57
1021,3810,20030110,45
2290,3963,20030110,27
8819,14734,20030110,39
6189,13781,20030110,44
3622,4848,20030110,25
6065,13744,20030110,53
2817,4112,20030110,12
3096,4781,20030110,37
8575,14702,20030110,24
3591,4847,20030110,24
533,3160,20030110,47
19967,54742,20030110,11
8633,14710,20030110,20
3405,4840,20030110,15
20215,54771,20030110,6
8602,14707,20030110,36
3188,4803,20030110,0
5941,13739,20030110,40
2755,4110,20030110,31
71,3017,20030110,19
6313,13833,20030110,51
8451,14606,20030110,9
2352,3966,20030110,28
2724,4109,20030110,32
2228,3960,20030110,30
1238,3822,20030110,57
5724,13728,20030110,45
2848,4113,20030110,35
3467,4842,20030110,25
3374,4839,20030110,23
3219,4804,20030110,28
1269,3847,20030110,31
19998,54743,20030110,35
8943,14739,20030110,32
1145,3816,20030110,32
